gaia_source_id	label	field	spine	overlay	applied	disposition
3429699684156117760	Gaia 3429699684156117760	gl	Gl 226.1	GJ 9197	GJ 9197	overlay-wins
3460347849221303296	HIP 58170	gl		GJ 2086	GJ 2086	added
3482765551281619456	HIP 55052	gl		GJ 11605	GJ 11605	added
3488261563231724032	HIP 59616	gl		GJ 11755	GJ 11755	added
350664155368182656	HIP 7734 / HD 10086	gl		GJ 65.1	GJ 65.1	added
3526420114274019456	HIP 61174 / HD 109085	gl	Gl 471.2	GJ 9411	GJ 9411	overlay-wins
3542490095189596544	HIP 57361	gl		GJ 11670A	GJ 11670A	added
3547944531854903168	HIP 56284	gl		GJ 11643	GJ 11643	added
3552000252294347392	HIP 54373	gl		GJ 11585	GJ 11585	added
3592769731134725248	HIP 56157	gl		GJ 11640	GJ 11640	added
3632451071421231360	HIP 66587	gl		GJ 11963	GJ 11963	added
3635080656558301184	HIP 65420 / HD 116568	gl		GJ 11927	GJ 11927	added
365548347350541952	HIP 3362	gl	Gl 29.1	GJ 9022	GJ 9022	overlay-wins
36590651757883392	HIP 17496	gl	GJ 1063	GJ 9128	GJ 9128	overlay-wins
3686261307923490688	HIP 65083	gl		GJ 11920A	GJ 11920A	added
3725115471868587904	HIP 67105 / HD 119802	gl		GJ 11980	GJ 11980	added
373349657227961472	HIP 5944 / HD 7590	gl		GJ 10186	GJ 10186	added
3750995604764854400	HIP 52369 / HD 92719	gl		GJ 11529	GJ 11529	added
3766401961693098368	HIP 49366 / HD 87424	gl		GJ 11440A	GJ 11440A	added
3788517916531415552	HIP 54513	gl		GJ 11589	GJ 11589	added
379582273249916416	HIP 1598 / HD 1562	gl		GJ 10049	GJ 10049	added
3980560507224374400	HIP 56238	gl	Gl 430.1	GJ 9365	GJ 9365	overlay-wins
4010201828880793984	HIP 60093	gl	Gl 459.3	GJ 9404	GJ 9404	overlay-wins
4055584308787727488	HIP 86963	gl		GJ 2130B		suppressed-collision
4055585060376248832	HIP 86961	gl		GJ 2130A		suppressed-collision
4072260704719970944	HIP 92444	gl		GJ 12743	GJ 12743	added
413391568618906880	HIP 6290	gl		GJ 10191	GJ 10191	added
4224259562941398400	HIP 99711 / HD 192263	gl		GJ 12940	GJ 12940	added
4307162018124573312	HIP 93871 / HD 178126	gl		GJ 12785	GJ 12785	added
4344429586787123072	HIP 80612	gl		GJ 2120	GJ 2120	added
4367026303085396352	HIP 85042 / HD 157347	gl		GJ 12486A	GJ 12486A	added
4381502851133968128	HIP 83601 / HD 154417	gl	Gl 654.1	GJ 9583	GJ 9583	overlay-wins
4383374219923745024	HIP 81375 / HD 149806	gl		GJ 12385	GJ 12385	added
4389844948935164544	HIP 85665	gl	Gl 678.1A	GJ 9592	GJ 9592	overlay-wins
4419140645978987904	HIP 74702 / HD 135599	gl		GJ 12196	GJ 12196	added
4421455530273900032	HIP 74975 / HD 136202	gl		GJ 12205	GJ 12205	added
4473334474604992384	Cebalrai / HIP 86742 / HD 161096	gl		GJ 12557	GJ 12557	added
