tyc	hip	hd	gl	gaia_source_id	reason
			GJ 13180		no_v_magnitude
			GJ 13181		no_v_magnitude
			GJ 13183		no_v_magnitude
			GJ 13202		no_v_magnitude
			GJ 13203		no_v_magnitude
			GJ 13204		no_v_magnitude
			GJ 13209		no_v_magnitude
			GJ 13210		no_v_magnitude
			GJ 13213		no_v_magnitude
			GJ 13216		no_v_magnitude
			GJ 13218B	1878388180081101440	no_v_magnitude
			GJ 13224		no_v_magnitude
			GJ 13237		no_v_magnitude
			GJ 13238C	6357834388848708224	no_v_magnitude
			GJ 13242		no_v_magnitude
			GJ 13247		no_v_magnitude
			GJ 13256		no_v_magnitude
			GJ 13257		no_v_magnitude
			GJ 13258		no_v_magnitude
			GJ 13262		no_v_magnitude
			GJ 13278		no_v_magnitude
			GJ 13280		no_v_magnitude
			GJ 13287B		no_v_magnitude
			GJ 13297		no_v_magnitude
			GJ 13300		no_v_magnitude
			GJ 13311		no_v_magnitude
			GJ 13315		no_v_magnitude
			GJ 13317		no_v_magnitude
			GJ 13319		no_v_magnitude
			GJ 13335		no_v_magnitude
			GJ 13345		no_v_magnitude
			GJ 13349		no_v_magnitude
			GJ 13350		no_v_magnitude
			GJ 13353		no_v_magnitude
			GJ 13364		no_v_magnitude
			GJ 13367B	1941668716392322432	no_v_magnitude
			GJ 13370		no_v_magnitude
			GJ 13376		no_v_magnitude
			GJ 13382		no_v_magnitude
			GJ 13386	2331849006126794880	no_v_magnitude
			GJ 13387		no_v_magnitude
			GJ 13390		no_v_magnitude
			GJ 13392		no_v_magnitude
			GJ 13393		no_v_magnitude
			GJ 13394		no_v_magnitude
			GJ 13397		no_v_magnitude
			GJ 13401		no_v_magnitude
			GJ 13404		no_v_magnitude
			GJ 13408		no_v_magnitude
			GJ 13410		no_v_magnitude
			GJ 13412		no_v_magnitude
			GJ 13413		no_v_magnitude
			GJ 13424		no_v_magnitude
			GJ 13426		no_v_magnitude
			GJ 13427	2769753357547997440	no_v_magnitude
			GJ 13431		no_v_magnitude
			GJ 13432	2337628932595588608	no_v_magnitude
			GJ 13441		no_v_magnitude
			GJ 13448	2847644410525542016	no_v_magnitude
			GJ 13453		no_v_magnitude
			GJ 13454		no_v_magnitude
			GJ 13459		no_v_magnitude
			GJ 9681B	1807953087254264064	no_v_magnitude
	105296				no_parallax_published
	108652			1975343768268150272	no_parallax_published
	108802				no_parallax_published
	111126			1987860638689066368	refused_no_defensible_parallax
	112465				no_parallax_published
	112777			6353558663006436608	refused_no_defensible_parallax
	114818				refused_no_defensible_parallax
	117566			2327846543283781376	refused_no_defensible_parallax
	11829				no_parallax_published
	120229				no_parallax_published
	120412				no_v_magnitude
	13287			140462030629908096	no_parallax_published
	16216				no_parallax_published
	18031				no_parallax_published
	18377				no_parallax_published
	18404				no_parallax_published
	20488				no_parallax_published
	24078				no_parallax_published
	27996				no_parallax_published
	30195			3008341024227026432	no_parallax_published
	31157				no_parallax_published
	31825				no_parallax_published
	32000				no_parallax_published
	34226				no_parallax_published
	34993			2928395018382746496	refused_no_defensible_parallax
	35488			5511716210812918656	no_parallax_published
	36649				no_parallax_published
	38562				no_parallax_published
	39410			671032466124830848	no_parallax_published
	40272				no_parallax_published
	43283				no_parallax_published
	43708				no_parallax_published
	44197				no_parallax_published
	45538			593799608292315264	refused_no_defensible_parallax
	45792				no_parallax_published
	47386				no_parallax_published
	47579			794709687248802048	refused_no_defensible_parallax
	4768			4690499772138161536	refused_no_defensible_parallax
	4773			4690499806497887360	no_parallax_published
	48307				no_parallax_published
	48665				no_parallax_published
	50572				no_parallax_published
	51496				no_parallax_published
	51595			5392354396734357760	no_parallax_published
	53198			3989734145051357440	no_parallax_published
	54948				no_parallax_published
	55987				refused_no_defensible_parallax
	5734				no_parallax_published
	5877			5039919757059571840	no_parallax_published
	59018				no_parallax_published
	59154				no_parallax_published
	60450				no_parallax_published
	60798				no_parallax_published
	61231				no_parallax_published
	6132				no_parallax_published
	63830			3957174444657466624	refused_no_defensible_parallax
	66182				refused_no_defensible_parallax
	66747				no_parallax_published
	67616				no_parallax_published
	69189			1226239997963666560	no_parallax_published
	69782				no_parallax_published
	74791			5890004320261840768	no_parallax_published
	81694				no_parallax_published
	82196			1356673486115493632	no_parallax_published
	86257				no_parallax_published
	87122				no_parallax_published
	88330				no_parallax_published
	88759				no_position
	89044			6703014725675220096	no_parallax_published
	90724			6734055175911885440	no_parallax_published
	91256				no_parallax_published
	92836				no_parallax_published
	94961				no_parallax_published
	95024			2051292671388139904	refused_no_defensible_parallax
	95493				no_parallax_published
	95723				no_parallax_published
	96073				no_parallax_published
100-109-1		290282		3221659233634173696	no_parallax_published
100-1142-1		287794		3222133054426118144	no_parallax_published
100-1221-1		287790		3222118657695124736	no_parallax_published
100-882-1		287651		3233705379949054848	refused_no_defensible_parallax
100-890-1		287799		3222115079986636672	refused_no_defensible_parallax
1001-170-1		161075		4493333693461205504	no_parallax_published
1018-659-1		167693			no_parallax_published
1019-920-1		163400			no_parallax_published
102-1128-1		287483		3229007166764507392	refused_no_defensible_parallax
102-530-1		240687		3238308966414059904	no_parallax_published
1025-2087-1		172451		4479410169697937408	refused_no_defensible_parallax
1025-3151-1		173551			no_parallax_published
103-2864-2		33884			no_parallax_published
1030-134-1		229514		4503747034980592128	no_parallax_published
1030-3922-1		229575		4503857948220927744	refused_no_defensible_parallax
1034-282-1		229582		4504238413600509696	no_parallax_published
1038-2527-1		229543		4507378172118438656	refused_no_defensible_parallax
104-2148-1		243089		3236191611961521792	refused_no_defensible_parallax
104-486-1		287617		3235280808312951680	no_parallax_published
1040-280-1		178216		4307263959167161216	no_parallax_published
1041-521-1		179466		4308898421867032064	no_parallax_published
1044-287-1		230602		4312585634153212672	no_parallax_published
1045-340-1		230878		4312784538334849920	refused_no_defensible_parallax
1045-475-1		178894			no_parallax_published
1047-392-1		230382		4506031064229587584	no_parallax_published
1048-1056-1		177027		4313799048297102464	no_parallax_published
1048-1131-1		230652		4313529667964466944	refused_no_defensible_parallax
1048-1438-1		230636			no_parallax_published
1048-564-1		230555		4313387143781747072	no_parallax_published
1049-1071-1		230771		4313950570425246720	refused_no_defensible_parallax
1049-1428-1		230803		4314048122070356864	no_parallax_published
1049-620-1		230799		4314058498659731456	no_parallax_published
1049-892-1		230840			no_parallax_published
